trip_id,source,location,length,ratio,turns,Rturns,Lturns,signals,flickr,population,residential_road,secondary,primary,tertiary,footpath,cycleway,commercial,farm,forest,openland,industrial,recreational,residential,bikelane,sharrow,intersection
18429,Bikemap,North Holland,59624.18272,2.5157578,0.2012606,0.0503152,0.1509455,0.7379556,4.0419841,69.0577545,1.1599005,0.1864126,1.5120132,83.6785431,0.3728252,4.6810274,0.890444,4.4933162,3.0275438,26.5132694,5.1631999,2.2072661,20.7697411,65.2651215,10.770505,2.7002466
39304,Bikemap,North Holland,36917.00899,2.4649885,0.8397213,0.379229,0.4604923,1.3273015,3.5484998,54.018795,1.3407822,24.6182499,8.0074492,54.3016777,0.3351955,5.8845439,1.7916168,2.2979424,6.2924485,32.0576515,0.1237523,0.3683198,41.7606888,21.3035374,0,6.8532095
39305,Bikemap,North Holland,39150.62692,2.5286951,0.4342204,0.2298814,0.204339,2.1200171,4.5976276,55.2314911,0.2202643,18.2378845,67.7092514,1.1453744,0.9251102,4.229075,1.2531441,13.691927,3.2762916,31.2263966,5.1464491,0.5854713,24.9522381,0.0440529,0.1762114,6.947526
42533,Bikemap,North Holland,37630.23936,2.2588217,1.0098262,0.5314875,0.4783387,0.1860206,15.0676689,50.7316589,1.9920319,3.3200531,0,49.7343941,2.9880478,19.5219116,0.0543078,0.280629,1.66219,38.7383614,3.8722801,3.1372762,22.2136879,8.4993362,0,4.8896847
78570,Bikemap,North Holland,172319.7145,2.3154635,0.5861198,0.2959615,0.2901583,1.04457,1.9266512,42.9979858,0.3966755,31.3845863,35.4646759,14.9319983,0.5761239,4.5995464,0.7879266,15.5383558,5.6226254,30.0808048,2.8664382,1.4663397,17.2146873,1.6717038,0.0944465,4.8862662
79062,Bikemap,North Holland,53689.78615,1.9556792,0.7263951,0.3538848,0.3725103,1.2851607,4.9916387,63.6549606,0.1845992,22.3364983,17.8006325,47.0727844,0.4219409,4.0875525,0.9201622,6.2922153,3.5038233,33.6129341,5.6566267,2.9832623,13.3782921,6.2236285,0,5.2151446
140381,Bikemap,North Holland,19757.40694,2.3788548,0.8604368,0.4555254,0.4049114,10.2240133,4.9095511,283.1665039,5.8207216,17.2293358,20.9545975,13.7369032,7.3341093,9.0803261,3.3832941,0,2.3059089,4.9685249,0.3190526,5.8029084,51.069416,7.9161816,0.1164144,21.3084641
145893,Bikemap,North Holland,15880.93091,2.6446812,0.5667174,0.3778116,0.1889058,0.5037488,5.037488,66.2787933,0.7874016,0.1574803,0,65.0393677,13.0708666,8.8188972,0.308936,1.2052404,3.0483913,25.6839523,4.2370477,1.6658739,13.6779003,43.6220474,0,2.8335869
170543,Bikemap,North Holland,41557.15248,2.3822613,0.8903401,0.5534547,0.3368855,1.6363008,3.2004118,60.6367111,6.4592786,6.7401166,27.3493195,11.2335281,0.1080147,7.7554545,0.4903055,5.4369888,4.4510307,49.1275978,0.961711,0.905677,14.6381941,0.7344999,0.4752646,4.9329653
171885,Bikemap,North Holland,48680.68186,2.4034173,0.9654754,0.4930087,0.4724667,3.3072667,4.9300871,68.3503036,3.6960986,3.6447639,9.548255,14.4763861,6.8275156,23.4086246,5.3737521,15.3950567,9.4119186,22.4074345,6.8498492,18.8669338,12.9528408,2.0533881,0.2053388,5.4025536
178540,Bikemap,North Holland,8407.903193,1.4272286,2.0219071,0.83255,1.1893572,5.2331715,6.4225287,188.5156708,0.8902077,5.6379824,3.5608308,16.0237389,8.3086052,35.0148354,12.5202961,0,18.4008064,14.900197,0,52.7960472,7.8453121,0,0,9.9906006
259832,Bikemap,North Holland,59624.18272,2.5157578,0.2012606,0.0503152,0.1509455,0.7379556,4.0419841,69.0577545,1.1599005,0.1864126,1.5120132,83.6785431,0.3728252,4.6810274,0.890444,4.4933162,3.0275438,26.5132694,5.1631999,2.2072661,20.7697411,65.2651215,10.770505,2.7002466
