trip_id,source,location,length,ratio,turns,Rturns,Lturns,signals,flickr,population,residential_road,secondary,primary,tertiary,footpath,cycleway,commercial,farm,forest,openland,industrial,recreational,residential,bikelane,sharrow,intersection,jobs,Ludiversity,walkability
169920,Bikemap,South Florida,27950.92222,2.3612816,1.1090869,0.4651009,0.6439859,3.5776994,20.6433258,187.0056458,13.0068855,39.0206566,5.4322877,16.5263958,3.9020658,7.1155319,23.7150726,0,5.6023674,0,0,15.1915941,21.2645073,50.7268562,0.9181331,15.8134317,191.9472656,0.5105524,14.4197989
325493,Bikemap,South Florida,16693.81257,1.8569754,1.3178536,0.5990244,0.7188292,1.377756,6.1100483,117.5138855,25.5813961,5.8823528,22.0246239,1.9151847,1.7783858,0,18.6385231,0,2.063699,2.0972638,0,12.997426,38.8490868,9.9863205,0.1367989,21.5049744,108.0379715,0.5675791,14.7980728
325498,Bikemap,South Florida,33467.80777,2.2409594,0.328674,0.2390357,0.0896384,1.3744551,8.4260073,122.9115524,8.0657206,44.884243,27.1097832,1.2696042,0.9708738,0,24.2237186,0,1.3645388,2.3641028,2.4973853,3.0692048,37.9922714,38.3121719,0.2240478,21.812006,79.385994,0.5785228,12.7718267
574844,Bikemap,South Florida,6543.762954,2.292259,1.2225381,0.3056345,0.9169036,0.3056345,0.1528173,38.4919891,55.3435097,0,0,11.4503813,0,0,68.0807571,0,0,0,0,0,12.4234829,0,0,20.4775143,1912.373657,0.4508123,5.7657504
663565,Bikemap,South Florida,18308.82263,1.3108435,0.109237,0,0.109237,1.8570282,14.7469883,13.6357641,1.1741683,93.4442291,0,0,0.6849315,0.4892368,15.1316118,0,13.4552517,0,0,16.3307858,1.2644614,90.8023453,0,6.881928,41.154438,0.3240364,11.2006044
664355,Bikemap,South Florida,18402.38046,1.3041791,0.1086816,0,0.1086816,1.8475871,14.6720152,14.4572344,1.1406844,93.2509537,0,0,0.6653993,0.4752852,15.0454283,0,13.5324945,0,0,16.2891216,1.4302639,90.5893555,0,7.2816668,48.2761879,0.3237397,11.2031336
851791,Bikemap,South Florida,88139.39706,2.1443305,0.1928763,0.1134566,0.0794197,2.3372068,8.5319395,161.539856,8.2018929,7.7812829,62.3291283,3.5226078,2.8128285,0.0262881,18.7163277,0,0.491192,0.1622326,0.0319583,10.0293932,43.345192,32.3080978,0.5257624,26.9119148,209.4280853,0.5529078,12.8569117
1339301,Bikemap,South Florida,27950.92222,2.3612816,1.1090869,0.4651009,0.6439859,3.5776994,20.6433258,187.0056458,13.0068855,39.0206566,5.4322877,16.5263958,3.9020658,7.1155319,23.7150726,0,5.6023674,0,0,15.1915941,21.2645073,50.7268562,0.9181331,15.8134317,191.9472656,0.5105524,14.4197989
1367349,Bikemap,South Florida,17105.3822,2.221523,0.7015336,0.4092279,0.2923056,1.1107615,13.9722109,164.834549,19.350811,0.2496879,53.5580521,2.6217229,0.6242197,0,6.6314154,0,0,0,0,3.7150829,79.2253799,20.9737835,0,31.9197769,86.7575684,0.476394,12.0659771
1389301,Bikemap,South Florida,15553.29238,1.5430816,0.964426,0.3214754,0.6429507,3.1504583,2.4432125,258.1043091,13.4863701,10.9038734,9.8995695,58.6800575,0.5738881,1.0043042,34.2220726,0,0,0.0332758,8.9918184,0,34.9179726,49.7847939,0,13.373374,798.1674194,0.4978955,16.1056557
1422088,Bikemap,South Florida,10807.41426,2.0356395,0.3701163,0.3701163,0,1.2954069,1.6655233,132.3906403,5.3117781,47.113163,37.6443405,3.0023096,0,0,28.5971775,0,0.4175591,4.6938024,4.6697397,0.964282,31.4040623,45.4965363,0,23.6874428,143.030426,0.6053445,14.035614
1892059,Bikemap,South Florida,26425.43984,2.3840663,1.3244812,0.6054772,0.7190041,2.232697,21.4944382,182.3600922,26.7759571,28.7796001,0.5464481,10.0182152,1.9125683,26.8670311,13.8748407,0,6.2146988,1.5186334,0,6.4637475,45.5913849,20.3096542,2.7322404,16.2721977,69.5151443,0.4341525,13.8691206
1892451,Bikemap,South Florida,62627.33958,2.0438359,0.0159675,0,0.0159675,0,1.8841611,0,0.0399042,0,0,91.0215454,0.0798085,0,0,0,3.5711088,0,0,0.2016226,0,0,0,0.4949915,6.6590643,0.5953838,4.7894301
1912727,Bikemap,South Florida,27342.48798,1.2069129,0.621743,0.2925849,0.329158,1.3166322,3.6207385,150.5578918,7.3003802,0,58.7832718,12.2433462,1.2927756,0,23.1212978,0,0,0,0,14.4391928,43.4062424,34.1444855,0,16.6407681,135.4180298,0.641411,14.2698975
2004682,Bikemap,South Florida,1170.535128,3.4172404,4.2715507,4.2715507,0,2.5629303,49.5499878,46.2382431,53.1914902,25.5319157,0,4.2553191,6.3829789,0,53.1544266,0,0,0,0,0,26.1270142,0,0,35.8810234,348.9475098,0.8272061,11.4910936
2022074,Bikemap,South Florida,14998.66326,2.2668686,0.2666904,0.0666726,0.2000178,0.0666726,1.0000892,34.696804,7.6666665,0,0,60.1666679,9.333333,0,0.3141651,12.7306271,2.1808214,14.374279,0,0.7354042,58.6783142,0,0,4.60041,174.2728424,0.4587778,6.6921992
2057087,Bikemap,South Florida,26437.98753,2.0046911,0.4538924,0.2647705,0.1891218,2.9124758,13.6924191,54.7893295,5.2074857,78.1122894,0.8950366,0.4882018,1.3018714,7.0789261,13.4281654,0,8.9467402,0,0,10.010376,34.2522888,50.1220512,0,12.9737558,90.3981094,0.4237252,12.7531071
2085158,Bikemap,South Florida,8959.141939,0.8929427,3.1252992,1.0045605,2.1207387,0.4464713,1.2277962,240.8745422,1.1061947,0,0,58.1858406,1.7699115,1.3274336,0.3746258,0,0,2.5236156,0,0,47.9891548,0,6.4159293,5.1344204,19.3190994,0.2964792,11.4796219
2107776,Bikemap,South Florida,18860.45536,1.2725037,2.1738605,0.9543778,1.2194828,0.4241679,1.4845877,79.3400879,0.754717,21.8867931,0.3773585,46.5408821,1.0062894,9.308176,22.3764362,0,1.3975509,1.8806932,6.5745354,0,12.6229992,30.8176098,4.0251575,6.6806445,387.0933838,0.4690034,8.1311417
2295484,Bikemap,South Florida,32068.3637,2.0269198,1.0602349,0.5613009,0.4989341,3.1183381,4.6463237,282.666626,13.7119112,28.7396126,9.7645426,40.3047104,0.9695291,0,25.9935131,0,0,0.942037,8.6542473,2.7642274,52.4015045,21.3988914,10.2493076,19.2401466,117.6658096,0.481799,15.9001923
2305505,Bikemap,South Florida,32455.45811,1.2324584,0.400549,0.0924344,0.3081146,0.9859667,3.2043917,78.9913483,7.9048352,64.1596298,0.3837298,4.6047583,1.4581734,0,11.8325558,0,0.1773309,2.2217968,0,10.2204218,60.2828903,29.2402153,0,12.6018867,71.6470261,0.5761626,7.5712075
2312623,Bikemap,South Florida,38849.21911,1.7246164,0.3603676,0.2574054,0.1029622,1.2612866,3.3720112,65.8253098,9.1318331,47.9742775,11.6398716,2.7009647,1.8649517,0.0643087,26.3557549,0,0.5415324,1.2127436,0,8.709197,48.7294464,26.2379417,0,19.3568878,257.2907104,0.6385329,8.3037758
